"reef_no","replicate","perimeter_m","area_m2","diam_longest_m","diam_perpendic_m","imagery_resolution_m","date","method","platform","imagery_type","provider","instrument","observer","notes"
19,2,99,926,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","ASL","NA"
19,3,94,1050,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","ASL","NA"
19,1,120,1147,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","ASL","NA"
19,2,115,1053,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","ASL","NA"
19,3,90,645,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","ASL","NA"
19,1,116,1028,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","AC","NA"
19,2,114,1011,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","AC","NA"
19,3,115,1020,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","AC","NA"
19,1,119,1086,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","AC","NA"
19,2,122,1156,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","AC","NA"
19,3,109,945,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","AC","NA"
19,1,110,926,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","AC","NA"
19,2,109,923,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","AC","NA"
19,3,114,1007,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","AC","NA"
19,1,119,1106,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","AC","NA"
19,2,112,986,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","AC","NA"
19,3,122,1159,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","AC","NA"
19,1,150,1850,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","AC","NA"
19,2,150,1850,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","AC","NA"
19,3,144,1610,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","AC","NA"
19,1,124,1210,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","AC","NA"
19,2,126,1170,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","AC","NA"
19,3,129,1230,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","AC","NA"
19,1,110,897,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","AC","NA"
19,2,122,1040,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","AC","NA"
19,3,118,1050,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","AC","NA"
19,1,172,2000,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","AC","NA"
19,2,232,3800,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","AC","NA"
19,3,211,3350,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","AC","NA"
16,1,197,2916,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","AC","NA"
16,2,193,2871,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","AC","NA"
16,3,196,2944,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","AC","NA"
16,1,194,2890,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","AC","NA"
16,2,199,3072,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","AC","NA"
16,3,200,3115,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","AC","NA"
16,1,189,2777,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","AC","NA"
16,2,190,2785,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","AC","NA"
16,3,190,2819,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","AC","NA"
16,1,192,2865,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","AC","NA"
16,2,192,2826,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","AC","NA"
16,3,191,2812,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","AC","NA"
16,1,181,2970,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","AC","NA"
16,2,193,2790,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","AC","NA"
16,3,215,3420,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","AC","NA"
16,1,207,3360,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","AC","NA"
16,2,210,3310,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","AC","NA"
16,3,229,4040,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","AC","NA"
16,1,317,7530,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","AC","NA"
16,2,259,4940,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","AC","NA"
16,3,267,5400,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","AC","NA"
16,1,225,3740,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","AC","NA"
16,2,351,9300,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","AC","NA"
16,3,294,6560,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","AC","NA"
12,1,387,11446,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","AC","NA"
12,2,382,11322,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","AC","NA"
12,3,381,11203,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","AC","NA"
12,1,371,10561,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","AC","NA"
12,2,375,10390,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","AC","NA"
12,3,378,11017,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","AC","NA"
